Month,DrugCode,ForecastDemand,CurrentStock,Surplus,ShelfLifeDays,LeadTimeDays,UnitCost,WastageRate,Season,RiskLabel
2020-01,M01AB,580.57,842.25,261.67,196,78,119.93,0.05,Winter,Surplus
2020-01,M01AE,259.31,144.72,-114.59,177,30,130.35,0.02,Winter,Shortage
2020-01,N02BA,1091.34,1569.95,478.61,475,70,198.45,0.19,Winter,Surplus
2020-01,N02BE,929.13,471.13,-458,946,55,105.19,0.12,Winter,Shortage
2020-01,N05B,98.6,145.31,46.71,872,68,18.58,0.19,Winter,Surplus
2020-01,N05C,592.22,878.4,286.18,594,9,172.06,0.2,Winter,Surplus
2020-01,R03,692.23,355.3,-336.93,690,66,112.88,0.12,Winter,Shortage
2020-01,R06,53.47,39.08,-14.39,181,66,24.85,0.15,Winter,Shortage
2020-02,M01AB,80.55,113.52,32.97,1021,56,132.67,0.09,Winter,Surplus
2020-02,M01AE,794.5,831.61,37.11,911,69,168.54,0.13,Winter,Balanced
2020-02,N02BA,610.87,871.5,260.63,952,54,65.64,0.17,Winter,Surplus
2020-02,N02BE,795.63,1162.55,366.92,814,86,149.59,0.16,Winter,Surplus
2020-02,N05B,892.52,1307.78,415.25,277,47,59.61,0.05,Winter,Surplus
2020-02,N05C,52.99,48.93,-4.06,218,14,1.6,0.24,Winter,Balanced
2020-02,R03,1069.08,1313.91,244.83,378,11,185.3,0.2,Winter,Surplus
2020-02,R06,1374.99,1856.29,481.3,869,40,19.53,0.11,Winter,Surplus
2020-03,M01AB,1013.2,1181.31,168.11,773,41,94.71,0.04,Spring,Balanced
2020-03,M01AE,1078.47,1359.72,281.25,307,20,99.01,0.16,Spring,Surplus
2020-03,N02BA,658.49,345.98,-312.5,550,57,6.77,0.19,Spring,Shortage
2020-03,N02BE,492.1,496.32,4.22,823,29,121.08,0.16,Spring,Balanced
2020-03,N05B,328.5,473.98,145.48,928,65,139.11,0.26,Spring,Surplus
2020-03,N05C,947.8,754.1,-193.7,735,34,160.83,0.06,Spring,Shortage
2020-03,R03,1342.06,1394.86,52.8,595,68,22.46,0.07,Spring,Balanced
2020-03,R06,657.85,867.05,209.21,834,9,1.89,0.15,Spring,Surplus
2020-04,M01AB,643.59,464.74,-178.85,908,50,49.2,0.05,Spring,Shortage
2020-04,M01AE,351.58,372.01,20.43,781,68,194.37,0.29,Spring,Balanced
2020-04,N02BA,400.12,399.02,-1.1,202,62,7.86,0.18,Spring,Balanced
2020-04,N02BE,768.94,424.05,-344.89,1086,7,48.29,0.04,Spring,Shortage
2020-04,N05B,749.5,1113.49,363.99,505,74,16.63,0.11,Spring,Surplus
2020-04,N05C,385.98,502.98,117,926,76,80.07,0.24,Spring,Surplus
2020-04,R03,1203.57,783.18,-420.38,276,76,139.31,0.26,Spring,Shortage
2020-04,R06,509.16,366.72,-142.44,435,73,162,0.1,Spring,Shortage
2020-05,M01AB,171.38,246.88,75.5,1025,45,187.38,0.04,Spring,Surplus
2020-05,M01AE,531.37,325.98,-205.39,240,37,175.53,0.08,Spring,Shortage
2020-05,N02BA,1000.18,1317.45,317.28,661,8,199.25,0.29,Spring,Surplus
2020-05,N02BE,850.69,1176.2,325.51,98,25,145.33,0.27,Spring,Surplus
2020-05,N05B,1334.02,1707.38,373.36,1009,81,187.16,0.24,Spring,Surplus
2020-05,N05C,1013.41,1095.18,81.77,201,31,1.51,0.05,Spring,Balanced
2020-05,R03,836.64,997.19,160.55,809,67,45.24,0.21,Spring,Balanced
2020-05,R06,378.76,312.63,-66.13,1005,14,169.92,0.2,Spring,Balanced
2020-06,M01AB,865.41,513.77,-351.64,972,28,49.18,0.29,Summer,Shortage
2020-06,M01AE,607.85,846.16,238.31,372,33,159.06,0.15,Summer,Surplus
2020-06,N02BA,878.05,871.48,-6.57,542,67,100.09,0.17,Summer,Balanced
2020-06,N02BE,1159.77,630.46,-529.32,261,36,190.81,0.27,Summer,Shortage
2020-06,N05B,574.13,295.94,-278.19,369,52,193.35,0.29,Summer,Shortage
2020-06,N05C,1283.92,1020.01,-263.91,1070,38,170.3,0.1,Summer,Shortage
2020-06,R03,279.15,295.01,15.86,824,60,139.36,0.17,Summer,Balanced
2020-06,R06,172.85,192.73,19.88,943,29,28.45,0.16,Summer,Balanced
2020-07,M01AB,1319.74,1637.49,317.75,1018,15,140.65,0.11,Summer,Surplus
2020-07,M01AE,461.58,604.37,142.79,956,56,173.48,0.27,Summer,Surplus
2020-07,N02BA,781.67,782.86,1.19,774,26,130.17,0.21,Summer,Balanced
2020-07,N02BE,1199.82,1667.75,467.93,560,21,75.43,0.03,Summer,Surplus
2020-07,N05B,880.07,471.67,-408.4,754,64,108.76,0.09,Summer,Shortage
2020-07,N05C,898.52,476.67,-421.86,781,48,164.61,0.11,Summer,Shortage
2020-07,R03,216.78,221.6,4.82,142,66,43.56,0.19,Summer,Balanced
2020-07,R06,155.46,85.76,-69.7,973,53,140.05,0.04,Summer,Shortage
2020-08,M01AB,225.14,330.85,105.71,195,36,8.69,0.12,Summer,Surplus
2020-08,M01AE,667.28,830.12,162.84,435,68,167.28,0.21,Summer,Surplus
2020-08,N02BA,631.16,424.96,-206.2,602,40,48.34,0.03,Summer,Shortage
2020-08,N02BE,298.81,428.68,129.87,986,22,103.58,0.2,Summer,Surplus
2020-08,N05B,670.44,824.67,154.23,1052,82,113.42,0.05,Summer,Surplus
2020-08,N05C,206.64,173.97,-32.67,309,75,19.28,0.09,Summer,Balanced
2020-08,R03,1469.88,992.65,-477.23,1001,54,161.48,0.1,Summer,Shortage
2020-08,R06,713.07,819.87,106.8,851,16,189.85,0.27,Summer,Balanced
2020-09,M01AB,413.51,213.09,-200.43,748,64,100.46,0.16,Autumn,Shortage
2020-09,M01AE,1035.43,1155.38,119.96,425,8,5.79,0.18,Autumn,Balanced
2020-09,N02BA,1412.14,1518.72,106.58,779,41,128.84,0.14,Autumn,Balanced
2020-09,N02BE,832.06,1199.38,367.32,924,71,192.26,0.27,Autumn,Surplus
2020-09,N05B,317.81,180.95,-136.86,696,52,4.14,0.03,Autumn,Shortage
2020-09,N05C,1034.02,590.62,-443.4,865,32,136.48,0.1,Autumn,Shortage
2020-09,R03,413.22,411.58,-1.64,915,81,175.56,0.22,Autumn,Balanced
2020-09,R06,1211.12,947.14,-263.98,483,79,113.92,0.17,Autumn,Shortage
